Date,Site,Runoff..m3.ha.,TP.conc,TP.load,SRP.conc,SRP.load,Drainage.Area..ha.,Event.Volume..m3.
7/14/2021,DCN-SUB,15.8,104.9,1.7,34.8,0.6,4.8,76
7/18/2021,DCS-SUB,186.4,314.1,58.5,90.2,16.8,8,1491.1
7/18/2021,DCS-SUR,NA,813,NA,212,NA,1,NA
7/18/2021,DCN-SUR,11.4,1270,14.5,720,8.2,0.7,8
7/18/2021,DCN-SUB,216.7,327.6,71,106.6,23.1,4.8,1040.2
7/19/2021,DCS-SUB,53.3,436.6,23.3,NA,NA,8,426.5
7/19/2021,DCS-SUR,0.6,1060,0.7,340,0.2,1,0.6
7/19/2021,DCN-SUR,1.3,1240,1.6,568,0.7,0.7,0.9
7/19/2021,DCN-SUB,60,262.1,15.7,NA,NA,4.8,288
7/21/2021,DCS-SUB,82.2,398.1,32.7,129.9,10.7,8,657.6
7/21/2021,DCS-SUR,8.7,1070,9.3,NA,NA,1,8.7
7/21/2021,DCN-SUR,10,1860,18.5,604,6,0.7,7
7/21/2021,DCN-SUB,110.9,358,39.7,118.2,13.1,4.8,532.1
7/31/2021,DCS-SUB,9.9,312,3.1,62.2,0.6,8,79
7/31/2021,DCS-SUR,NA,NA,NA,NA,NA,NA,NA
7/31/2021,DCN-SUR,NA,NA,NA,NA,NA,NA,NA
7/31/2021,DCN-SUB,13.6,251,3.4,84.7,1.2,4.9,66.8
8/2/2021,DCS-SUB,112.3,598,67.2,105,11.8,8,898.5
8/2/2021,DCS-SUR,10.3,NA,NA,NA,NA,1,10.3
8/2/2021,DCN-SUR,9.3,NA,NA,NA,NA,0.7,6.5
8/2/2021,DCN-SUB,151.6,831,126,152,23,4.9,742.9
8/20/2021,DCS-SUB,141.1,348,49.1,92.6,13.1,8,1128.9
8/20/2021,DCS-SUR,33.8,399,13.5,109,3.7,1,33.8
8/20/2021,DCN-SUR,2.9,819,2.3,378,1.1,0.7,2
8/20/2021,DCN-SUB,173.4,456,79.1,66,11.4,4.9,849.8
9/9/2021,DCS-SUB,24.8,345,8.6,45.9,1.1,8,198.3
9/9/2021,DCS-SUR,NA,NA,NA,NA,NA,NA,NA
9/9/2021,DCN-SUR,NA,NA,NA,NA,NA,NA,NA
9/9/2021,DCN-SUB,24,240,5.8,50.5,1.2,4.9,117.8
9/24/2021,DCS-SUB,13.4,648,8.7,66.2,0.9,8,107.1
9/24/2021,DCS-SUR,1.6,967,1.5,397,0.6,1,1.6
9/24/2021,DCN-SUR,1.9,4290,8,2240,4.2,0.7,1.3
9/24/2021,DCN-SUB,16.1,949,15.3,167,2.7,4.9,78.8
10/17/2021,DCS-SUB,45.3,waiting analysis,waiting analysis,264,12,8,362.7
10/17/2021,DCS-SUR,4.9,waiting analysis,waiting analysis,352,1.7,1,4.9
10/17/2021,DCN-SUR,0.7,waiting analysis,waiting analysis,1410,1,0.7,0.5
10/17/2021,DCN-SUB,49.5,waiting analysis,waiting analysis,412,20.4,4.9,242.7
